School Year,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
2015-2016,136,16,19,0,15,128,418,76,76,1,1,52,636
2011-2012,4,10,1,0,1,13,33,13,7,1,0,6,131
2012-2013,8,7,1,0,1,12,39,12,11,0,0,8,145
2013-2014,7,7,2,0,0,13,45,12,10,0,1,8,138
2014-2015,11,6,2,0,0,17,42,16,11,1,3,7,138
2015-2016,86,4,12,0,0,57,147,12,21,0,1,0,163
2006-2007,0,6,0,0,0,6,1,11,2,0,0,0,47
2007-2008,1,4,0,0,0,6,2,23,4,0,0,0,72
2009-2010,0,0,0,0,0,2,1,16,2,0,0,0,60
2010-2011,0,4,0,0,0,3,1,21,5,1,0,0,79
2011-2012,0,3,0,0,0,7,3,17,4,1,0,0,87
2012-2013,1,4,1,0,0,5,5,20,2,0,0,0,94
2012-2013,2,0,0,0,3,19,19,2,8,0,1,12,213
2013-2014,7,1,0,0,1,22,29,1,7,0,2,16,260
2014-2015,11,2,0,0,2,45,49,5,13,1,3,15,420
2015-2016,2,2,3,0,0,16,11,6,4,1,0,0,71
2014-2015,2,4,3,0,2,22,8,5,5,0,0,4,62
2014-2015,2,2,3,0,0,16,11,6,4,1,0,0,71
2014-2015,46,16,7,1,0,67,142,27,30,3,2,0,351
2014-2015,1,5,5,0,0,10,13,21,24,0,0,2,76
2014-2015,41,18,9,1,8,69,146,42,33,1,0,28,345
2014-2015,3,0,1,1,0,14,4,5,20,1,0,4,72
2015-2016,2,2,0,0,0,2,4,1,0,0,0,2,15
2014-2015,13,4,3,0,2,7,123,29,83,0,0,15,162
2015-2016,4,18,3,0,7,33,25,48,18,1,0,35,182
2010-2011,4,8,1,0,2,13,19,15,6,0,0,4,121
2012-2013,9,0,3,0,3,26,13,1,4,0,0,3,45
2013-2014,11,0,5,0,3,39,17,1,11,0,0,2,43
2014-2015,13,0,6,0,3,36,16,1,11,1,0,2,45
2014-2015,1,0,1,0,0,22,1,6,8,1,0,8,170
2014-2015,7,1,0,0,1,26,59,13,1,0,3,14,282
2010-2011,8,4,5,0,0,16,48,10,45,1,0,7,140
2011-2012,9,5,2,0,1,9,54,12,36,0,0,6,146
2012-2013,15,5,6,0,3,9,81,12,48,0,1,7,154
